subject,body,label
Quarterly report Q3 results summary attached,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Earn money fast work from home guaranteed income,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
You have been selected for our exclusive rewards program,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Library book due reminder please return by Sunday,The library book you borrowed is due for return on Sunday You may renew it online if you need more time Late fees apply after due date please return or renew soon,ham
Your computer has a virus call us immediately,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
FREE gift card 500 Amazon select here to claim,Buy cheap medications online without prescription Viagra Cialis and more available at 90 percent discount No doctor needed Order now and receive free shipping on all orders discreet packaging,spam
Hot singles in your area want to meet you tonight,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Make 5000 per week from home no experience needed,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Conference room booking confirmed for 2pm Friday,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Reminder appointment with Dr Smith on Thursday 10am,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Welcome to the team looking forward to working with you,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Lose 30 pounds in 30 days guaranteed results,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Buy cheap Viagra Cialis online no prescription needed,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Following up on our conversation from last week,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Meeting rescheduled to 3pm tomorrow please confirm,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Debt consolidation get out of debt now easy approval,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
WINNER NOTIFICATION Claim your prize today,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Make 5000 per week from home no experience needed,Buy cheap medications online without prescription Viagra Cialis and more available at 90 percent discount No doctor needed Order now and receive free shipping on all orders discreet packaging,spam
Following up on our conversation from last week,I reviewed your research paper draft and left detailed comments in the document Overall it looks good but there are a few sections that need more supporting evidence and citations,ham
You have been selected for our exclusive rewards program,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Your PayPal account has been compromised act now,Hot girls in your area are looking to meet tonight See who wants to hook up near you Join for free today no credit card required thousands of profiles online,spam
Lunch today still on for noon,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Lunch today still on for noon,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Debt consolidation get out of debt now easy approval,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Buy cheap Viagra Cialis online no prescription needed,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Click here to enlarge unsubscribe at any time,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Homework assignment 3 due date clarification,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Library book due reminder please return by Sunday,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Cheap pills online no doctor needed order now,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Thanks for your help with the presentation yesterday,Please find attached the project report for your review Let me know if you have any feedback or changes you would like me to make before the final submission deadline on Friday,ham
Happy birthday hope you have a wonderful day,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Team standup notes from this morning attached,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Lunch today still on for noon,I reviewed your research paper draft and left detailed comments in the document Overall it looks good but there are a few sections that need more supporting evidence and citations,ham
Library book due reminder please return by Sunday,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Hot singles in your area want to meet you tonight,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Lunch today still on for noon,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Your subscription renewal confirmation receipt attached,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Campus event student council meeting tonight 7pm,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Thanks for your help with the presentation yesterday,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Can you review the draft before the client call,The library book you borrowed is due for return on Sunday You may renew it online if you need more time Late fees apply after due date please return or renew soon,ham
Exclusive deal only for you 90 percent off luxury watches,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Invoice attached please process by end of month,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Your PayPal account has been compromised act now,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Research paper feedback see comments in document,The library book you borrowed is due for return on Sunday You may renew it online if you need more time Late fees apply after due date please return or renew soon,ham
Your order has been shipped tracking number inside,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Your PayPal account has been compromised act now,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Can you review the draft before the client call,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Meeting rescheduled to 3pm tomorrow please confirm,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Happy birthday hope you have a wonderful day,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Welcome to the team looking forward to working with you,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Happy birthday hope you have a wonderful day,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Can you review the draft before the client call,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Cheap pills online no doctor needed order now,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
You have been selected for our exclusive rewards program,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Cheap pills online no doctor needed order now,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Your order has been shipped tracking number inside,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Conference room booking confirmed for 2pm Friday,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
URGENT Your account will be suspended verify immediately,Buy cheap medications online without prescription Viagra Cialis and more available at 90 percent discount No doctor needed Order now and receive free shipping on all orders discreet packaging,spam
Conference room booking confirmed for 2pm Friday,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Hot singles in your area want to meet you tonight,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Reminder appointment with Dr Smith on Thursday 10am,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Earn money fast work from home guaranteed income,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Happy birthday hope you have a wonderful day,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Homework assignment 3 due date clarification,I reviewed your research paper draft and left detailed comments in the document Overall it looks good but there are a few sections that need more supporting evidence and citations,ham
Research paper feedback see comments in document,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Hot singles in your area want to meet you tonight,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Welcome to the team looking forward to working with you,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Your computer has a virus call us immediately,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Library book due reminder please return by Sunday,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Homework assignment 3 due date clarification,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Your computer has a virus call us immediately,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Conference room booking confirmed for 2pm Friday,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Can you review the draft before the client call,The library book you borrowed is due for return on Sunday You may renew it online if you need more time Late fees apply after due date please return or renew soon,ham
Your PayPal account has been compromised act now,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Congratulations You won 1000000 prize claim now,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Re Project proposal feedback needed by Friday,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Click here to enlarge unsubscribe at any time,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Quarterly report Q3 results summary attached,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Team standup notes from this morning attached,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Conference room booking confirmed for 2pm Friday,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Meeting rescheduled to 3pm tomorrow please confirm,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Invoice attached please process by end of month,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
You have been selected for our exclusive rewards program,Buy cheap medications online without prescription Viagra Cialis and more available at 90 percent discount No doctor needed Order now and receive free shipping on all orders discreet packaging,spam
Thanks for your help with the presentation yesterday,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Conference room booking confirmed for 2pm Friday,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Cheap pills online no doctor needed order now,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Hi checking in on how the project is going,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Re Project proposal feedback needed by Friday,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
URGENT Your account will be suspended verify immediately,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Hi checking in on how the project is going,I reviewed your research paper draft and left detailed comments in the document Overall it looks good but there are a few sections that need more supporting evidence and citations,ham
Exclusive deal only for you 90 percent off luxury watches,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Quarterly report Q3 results summary attached,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
WINNER NOTIFICATION Claim your prize today,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Your computer has a virus call us immediately,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Exclusive deal only for you 90 percent off luxury watches,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Campus event student council meeting tonight 7pm,I reviewed your research paper draft and left detailed comments in the document Overall it looks good but there are a few sections that need more supporting evidence and citations,ham
You have been selected for our exclusive rewards program,LOSE WEIGHT FAST with our new miracle pill Guaranteed to help you lose 30 pounds in 30 days or your money back No diet or exercise required doctor approved natural formula,spam
Meeting rescheduled to 3pm tomorrow please confirm,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Your order has been shipped tracking number inside,Thank you for your help with the client presentation yesterday it went really well and they were very impressed with the work our team has done I will let you know about next steps,ham
Investment opportunity 500 percent returns guaranteed,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Your order has been shipped tracking number inside,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
FREE iPhone 15 Pro Limited time offer click here,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Welcome to the team looking forward to working with you,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
You have been selected for our exclusive rewards program,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Following up on our conversation from last week,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Following up on our conversation from last week,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Click here to enlarge unsubscribe at any time,Hot girls in your area are looking to meet tonight See who wants to hook up near you Join for free today no credit card required thousands of profiles online,spam
Invoice attached please process by end of month,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
WINNER NOTIFICATION Claim your prize today,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
FREE gift card 500 Amazon select here to claim,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
FREE iPhone 15 Pro Limited time offer click here,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
You have been selected for our exclusive rewards program,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Hot singles in your area want to meet you tonight,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
WINNER NOTIFICATION Claim your prize today,CONGRATULATIONS You have won an exclusive prize worth 1000000 Click the link below to claim your reward Act fast this offer expires in 24 hours Do not miss this once in lifetime opportunity,spam
Re Project proposal feedback needed by Friday,As discussed in our meeting last week I am following up on the budget proposal Could you please send me the updated figures so I can include them in the board presentation,ham
Hi checking in on how the project is going,Please find attached the project report for your review Let me know if you have any feedback or changes you would like me to make before the final submission deadline on Friday,ham
Your computer has a virus call us immediately,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Library book due reminder please return by Sunday,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Lunch today still on for noon,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Welcome to the team looking forward to working with you,Hi everyone attached are the meeting notes from our standup this morning Please review action items assigned to you and update your status in the project tracker by end of day,ham
Click here to enlarge unsubscribe at any time,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Your subscription renewal confirmation receipt attached,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Homework assignment 3 due date clarification,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
Your computer has a virus call us immediately,Buy cheap medications online without prescription Viagra Cialis and more available at 90 percent discount No doctor needed Order now and receive free shipping on all orders discreet packaging,spam
Library book due reminder please return by Sunday,Please find attached the project report for your review Let me know if you have any feedback or changes you would like me to make before the final submission deadline on Friday,ham
Following up on our conversation from last week,Please find attached the project report for your review Let me know if you have any feedback or changes you would like me to make before the final submission deadline on Friday,ham
FREE iPhone 15 Pro Limited time offer click here,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
You have been selected for our exclusive rewards program,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Investment opportunity 500 percent returns guaranteed,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
Homework assignment 3 due date clarification,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Investment opportunity 500 percent returns guaranteed,Buy cheap medications online without prescription Viagra Cialis and more available at 90 percent discount No doctor needed Order now and receive free shipping on all orders discreet packaging,spam
Lunch today still on for noon,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Your PayPal account has been compromised act now,LOSE WEIGHT FAST with our new miracle pill Guaranteed to help you lose 30 pounds in 30 days or your money back No diet or exercise required doctor approved natural formula,spam
You are pre-approved for a 50000 loan apply today,Dear winner you have been selected as winner of our international lottery To claim your prize send us your personal details including bank account number and we will transfer your winnings immediately,spam
Lose 30 pounds in 30 days guaranteed results,Your account has been compromised Verify your details immediately to prevent suspension Click here to confirm your identity This is urgent and requires immediate action from you,spam
Can you review the draft before the client call,Hi just wanted to check if we are still on for the team meeting tomorrow at 3pm Please let me know if you need to reschedule and I will update the calendar invite accordingly,ham
Following up on our conversation from last week,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
You have been selected for our exclusive rewards program,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Lunch today still on for noon,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
WINNER NOTIFICATION Claim your prize today,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
You are pre-approved for a 50000 loan apply today,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Your order has been shipped tracking number inside,Just a reminder that your quarterly performance review is scheduled for next Monday at 2pm Please come prepared with a summary of your accomplishments and goals for the upcoming quarter,ham
Your computer has a virus call us immediately,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Your PayPal account has been compromised act now,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Invoice attached please process by end of month,The library book you borrowed is due for return on Sunday You may renew it online if you need more time Late fees apply after due date please return or renew soon,ham
Congratulations You won 1000000 prize claim now,LOSE WEIGHT FAST with our new miracle pill Guaranteed to help you lose 30 pounds in 30 days or your money back No diet or exercise required doctor approved natural formula,spam
FREE iPhone 15 Pro Limited time offer click here,LOSE WEIGHT FAST with our new miracle pill Guaranteed to help you lose 30 pounds in 30 days or your money back No diet or exercise required doctor approved natural formula,spam
Earn money fast work from home guaranteed income,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Re Project proposal feedback needed by Friday,I reviewed your research paper draft and left detailed comments in the document Overall it looks good but there are a few sections that need more supporting evidence and citations,ham
Earn money fast work from home guaranteed income,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Investment opportunity 500 percent returns guaranteed,You have been pre-approved for a personal loan of 50000 with no credit check required Low interest rates guaranteed approval within 24 hours apply now get cash deposited directly,spam
Your subscription renewal confirmation receipt attached,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
You have been selected for our exclusive rewards program,I am a Nigerian prince seeking trusted partner for confidential business transaction worth 25 million dollars I will give you 30 percent of total amount for your assistance reply now,spam
URGENT Your account will be suspended verify immediately,Make money fast from home Our proven system guarantees you will earn 5000 per week with just 2 hours of work daily No experience required Join thousands of satisfied members today,spam
Your order has been shipped tracking number inside,This is to confirm your appointment with Dr Johnson on Thursday at 10am Please arrive 15 minutes early to complete paperwork Call us if you need to reschedule the appointment,ham
Buy cheap Viagra Cialis online no prescription needed,SPECIAL OFFER Get a free iPhone 15 Pro just for completing our survey Limited to first 100 respondents All you need to do is provide your shipping address and email,spam
Quarterly report Q3 results summary attached,Your order number 12345 has been shipped and is expected to arrive by Thursday You can track your package using the tracking number provided please contact us if you have questions,ham
